[02/22/25 20:02:44] [INFO] received Windows console close event; shutting log-core down
[02/22/25 20:11:48] [INFO] received Windows console close event; shutting log-core down
[02/22/25 20:21:26] [INFO] received Windows console close event; shutting log-core down
[02/22/25 21:24:07] [INFO] received Windows console close event; shutting log-core down
[02/23/25 01:38:25] [INFO] received Windows console close event; shutting log-core down
[02/23/25 02:48:53] [INFO] received Windows console close event; shutting log-core down
[02/23/25 17:58:35] [INFO] received Windows console close event; shutting log-core down
[02/24/25 17:30:29] [INFO] received Windows console close event; shutting log-core down
[02/26/25 22:49:55] [INFO] received Windows console close event; shutting log-core down
[02/26/25 23:07:30] [INFO] received Windows console close event; shutting log-core down
[02/26/25 23:14:01] [INFO] received Windows console close event; shutting log-core down
[02/26/25 23:32:31] [INFO] received Windows console close event; shutting log-core down
[02/27/25 00:02:51] [INFO] received Windows console close event; shutting log-core down
[02/27/25 14:44:25] [INFO] received Windows console close event; shutting log-core down
[02/28/25 18:59:04] [INFO] received Windows console close event; shutting log-core down
[02/28/25 20:36:34] [INFO] received Windows console close event; shutting log-core down
[02/28/25 21:08:52] [INFO] received Windows console close event; shutting log-core down
[02/28/25 22:36:29] [INFO] received Windows console close event; shutting log-core down
[02/28/25 22:48:12] [INFO] received Windows console close event; shutting log-core down
[02/28/25 22:53:21] [INFO] received Windows console close event; shutting log-core down
[03/01/25 00:14:28] [INFO] received Windows console close event; shutting log-core down
[03/01/25 00:22:24] [INFO] received Windows console close event; shutting log-core down
[03/01/25 00:42:44] [INFO] received Windows console close event; shutting log-core down
[03/01/25 01:41:56] [INFO] received Windows console close event; shutting log-core down
[03/01/25 03:03:44] [INFO] received Windows console close event; shutting log-core down
[03/01/25 03:22:45] [INFO] received Windows console close event; shutting log-core down
[03/01/25 03:35:21] [INFO] received Windows console close event; shutting log-core down
[03/01/25 03:51:04] [INFO] received Windows console close event; shutting log-core down
[03/01/25 04:01:34] [INFO] received Windows console close event; shutting log-core down
[03/01/25 04:42:38] [INFO] received Windows console close event; shutting log-core down
[03/01/25 07:21:17] [INFO] received Windows console close event; shutting log-core down
[03/01/25 11:36:46] [INFO] received Windows console close event; shutting log-core down
[03/02/25 09:52:32] [INFO] received Windows console close event; shutting log-core down
[03/02/25 10:27:56] [INFO] received Windows console close event; shutting log-core down
[03/03/25 09:31:54] [INFO] received Windows console close event; shutting log-core down
[03/03/25 09:36:23] [INFO] received Windows console close event; shutting log-core down
[03/03/25 09:39:15] [INFO] received Windows console close event; shutting log-core down
[03/03/25 09:53:21] [INFO] received Windows console close event; shutting log-core down
[03/03/25 10:09:56] [INFO] received Windows console close event; shutting log-core down
[03/03/25 10:51:57] [INFO] received Windows console close event; shutting log-core down
[03/03/25 11:15:36] [INFO] received Windows console close event; shutting log-core down
[03/03/25 11:37:07] [INFO] received Windows console close event; shutting log-core down
[03/03/25 12:53:11] [INFO] received Windows console close event; shutting log-core down
[03/03/25 14:56:02] [INFO] received Windows console close event; shutting log-core down
[03/03/25 23:19:05] [INFO] received Windows console close event; shutting log-core down
[03/03/25 23:41:12] [INFO] received Windows console close event; shutting log-core down
[03/04/25 01:49:38] [INFO] received Windows console close event; shutting log-core down
[03/04/25 05:35:19] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03/04/25 05:35:19] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Unhandled Exception Handler catched; shutting log-core down
[03/04/25 05:36:04] [INFO] received Windows console close event; shutting log-core down
[03/04/25 05:36:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03/04/25 05:36:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Unhandled Exception Handler catched; shutting log-core down
[03/04/25 05:36:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03/04/25 05:37:07] [INFO] received Windows console close event; shutting log-core down
[03/04/25 05:39:51] [INFO] received Windows console close event; shutting log-core down
[03/04/25 05:59:39] [INFO] received Windows console close event; shutting log-core down
[03/04/25 06:08:37] [INFO] received Windows console close event; shutting log-core down
[03/04/25 07:07:44] [INFO] received Windows console close event; shutting log-core down
[03/04/25 07:19:15] [INFO] received Windows console close event; shutting log-core down
[03/04/25 07:31:25] [INFO] received Windows console close event; shutting log-core down
[03/04/25 10:48:22] [INFO] received Windows console close event; shutting log-core down
[03/04/25 11:05:55] [INFO] received Windows console close event; shutting log-core down
[03/04/25 11:19:11] [INFO] received Windows console close event; shutting log-core down
[03/04/25 15:10:37] [INFO] received Windows console close event; shutting log-core down
[03/04/25 15:30:22] [INFO] received Windows console close event; shutting log-core down
[03/04/25 15:45:21] [INFO] received Windows console close event; shutting log-core down
[03/05/25 02:10:19] [INFO] received Windows console close event; shutting log-core down
[03/05/25 02:39:16] [INFO] received Windows console close event; shutting log-core down
[03/05/25 07:54:15] [INFO] received Windows console close event; shutting log-core down
[03/05/25 08:03:39] [INFO] received Windows console close event; shutting log-core down
[03/05/25 10:32:30] [INFO] received Windows console close event; shutting log-core down
[03/05/25 11:59:05] [INFO] received Windows console close event; shutting log-core down
[03/06/25 05:24:39] [INFO] received Windows console close event; shutting log-core down
[03/06/25 05:47:55] [INFO] received Windows console close event; shutting log-core down
[03/06/25 06:10:13] [INFO] received Windows console close event; shutting log-core down
[03/06/25 06:23:12] [INFO] received Windows console close event; shutting log-core down
[03/06/25 08:26:57] [INFO] received Windows console close event; shutting log-core down
[03/06/25 08:48:59] [INFO] received Windows console close event; shutting log-core down
[03/06/25 11:53:15] [INFO] received Windows console close event; shutting log-core down
[03/07/25 04:37:15] [INFO] received Windows console close event; shutting log-core down
[03/07/25 11:45:01] [INFO] received Windows console close event; shutting log-core down
[03/08/25 11:39:01] [INFO] received Windows console close event; shutting log-core down
[03/08/25 11:52:30] [INFO] received Windows console close event; shutting log-core down
[03/09/25 09:48:25] [INFO] received Windows console close event; shutting log-core down
[03/09/25 09:54:58] [INFO] received Windows console close event; shutting log-core down
[03/09/25 09:58:17] [INFO] received Windows console close event; shutting log-core down
[03/09/25 10:13:16] [INFO] received Windows console close event; shutting log-core down
[03/09/25 10:45:18] [INFO] received Windows console close event; shutting log-core down
[03/09/25 10:53:12] [INFO] received Windows console close event; shutting log-core down
[03/09/25 11:05:45] [INFO] received Windows console close event; shutting log-core down
[03/09/25 13:11:17] [INFO] received Windows console close event; shutting log-core down
[03/10/25 00:36:23] [INFO] received Windows console close event; shutting log-core down
[03/10/25 12:16:14] [INFO] received Windows console close event; shutting log-core down
[03/10/25 12:43:47] [INFO] received Windows console close event; shutting log-core down
[03/10/25 13:26:28] [INFO] received Windows console close event; shutting log-core down
[03/10/25 13:30:13] [INFO] received Windows console close event; shutting log-core down
[03/10/25 14:09:05] [INFO] received Windows console close event; shutting log-core down
[03/10/25 14:19:51] [INFO] received Windows console close event; shutting log-core down
[03/10/25 14:33:47] [INFO] received Windows console close event; shutting log-core down
[03/10/25 14:53:30] [INFO] received Windows console close event; shutting log-core down
[03/10/25 15:14:41] [INFO] received Windows console close event; shutting log-core down
[03/10/25 15:22:44] [INFO] received Windows console close event; shutting log-core down
[03/10/25 15:52:06] [INFO] received Windows console close event; shutting log-core down
[03/11/25 03:19:49] [INFO] received Windows console close event; shutting log-core down
[03/11/25 03:20:37] [INFO] received Windows console close event; shutting log-core down
[03/11/25 03:30:10] [INFO] received Windows console close event; shutting log-core down
[03/11/25 03:37:57] [INFO] received Windows console close event; shutting log-core down
[03/11/25 03:38:38] [INFO] received Windows console close event; shutting log-core down
[03/11/25 04:05:50] [INFO] received Windows console close event; shutting log-core down
[03/11/25 06:10:06] [INFO] received Windows console close event; shutting log-core down
[03/11/25 07:51:54] [INFO] received Windows console close event; shutting log-core down
[03/11/25 09:06:54] [INFO] received Windows console close event; shutting log-core down
[03/12/25 00:13:12] [INFO] received Windows console close event; shutting log-core down
[03/12/25 02:05:31] [INFO] received Windows console close event; shutting log-core down
[03/12/25 09:52:24] [INFO] received Windows console close event; shutting log-core down
[03/12/25 14:45:36] [INFO] received Windows console close event; shutting log-core down
[03/13/25 02:58:11] [INFO] received Windows console close event; shutting log-core down
[03/13/25 03:10:56] [INFO] received Windows console close event; shutting log-core down
[03/13/25 06:40:49] [INFO] received Windows console close event; shutting log-core down
[03/13/25 08:40:24] [INFO] received Windows console close event; shutting log-core down
[03/14/25 12:04:04] [INFO] received Windows console close event; shutting log-core down
[03/14/25 12:22:29] [INFO] received Windows console close event; shutting log-core down
[03/14/25 12:30:42] [INFO] received Windows console close event; shutting log-core down
[03/14/25 12:38:13] [INFO] received Windows console close event; shutting log-core down
[03/14/25 12:57:03] [INFO] received Windows console close event; shutting log-core down
[03/14/25 15:01:06] [INFO] received Windows console close event; shutting log-core down
[03/15/25 10:51:09] [INFO] received Windows console close event; shutting log-core down
[03/15/25 11:28:39] [INFO] received Windows console close event; shutting log-core down
[03/15/25 12:41:40] [INFO] received Windows console close event; shutting log-core down
[03/15/25 13:39:59] [INFO] received Windows console close event; shutting log-core down
[03/15/25 13:47:57] [INFO] received Windows console close event; shutting log-core down
[03/15/25 15:52:25] [INFO] received Windows console close event; shutting log-core down
[03/16/25 01:17:48] [INFO] received Windows console close event; shutting log-core down
[03/16/25 02:01:09] [INFO] received Windows console close event; shutting log-core down
[03/16/25 02:25:47] [INFO] received Windows console close event; shutting log-core down
[03/16/25 10:56:42] [INFO] received Windows console close event; shutting log-core down
[03/16/25 11:05:44] [INFO] received Windows console close event; shutting log-core down
[03/17/25 08:26:51] [INFO] received Windows console close event; shutting log-core down
[03/17/25 08:48:06] [INFO] received Windows console close event; shutting log-core down
[03/17/25 09:01:52] [INFO] received Windows console close event; shutting log-core down
[03/17/25 09:24:06] [INFO] received Windows console close event; shutting log-core down
[03/17/25 09:56:03] [INFO] received Windows console close event; shutting log-core down
[03/17/25 12:07:09] [INFO] received Windows console close event; shutting log-core down
[03/17/25 12:50:14] [INFO] received Windows console close event; shutting log-core down
[03/17/25 15:21:18] [INFO] received Windows console close event; shutting log-core down
[03/17/25 17:33:13] [INFO] received Windows console close event; shutting log-core down
[03/17/25 17:35:21] [INFO] received Windows console close event; shutting log-core down
[03/17/25 17:36:38] [INFO] received Windows console close event; shutting log-core down
[03/17/25 17:37:25] [INFO] received Windows console close event; shutting log-core down
[03/17/25 17:42:32] [INFO] received Windows console close event; shutting log-core down
[03/17/25 17:43:19] [INFO] received Windows console close event; shutting log-core down
[03/17/25 17:59:32] [INFO] received Windows console close event; shutting log-core down
[03/17/25 18:05:13] [INFO] received Windows console close event; shutting log-core down
[03/17/25 23:26:47] [INFO] received Windows console close event; shutting log-core down
[03/17/25 23:46:15] [INFO] received Windows console close event; shutting log-core down
[03/17/25 23:55:15] [INFO] received Windows console close event; shutting log-core down
[03/18/25 00:07:19] [INFO] received Windows console close event; shutting log-core down
[03/18/25 00:22:15] [INFO] received Windows console close event; shutting log-core down
[03/18/25 00:58:33] [INFO] received Windows console close event; shutting log-core down
[03/18/25 03:36:43] [INFO] received Windows console close event; shutting log-core down
[03/18/25 03:52:04] [INFO] received Windows console close event; shutting log-core down
[03/18/25 12:06:56] [INFO] received Windows console close event; shutting log-core down
[03/18/25 13:44:15] [INFO] received Windows console close event; shutting log-core down
[03/19/25 11:46:26] [INFO] received Windows console close event; shutting log-core down
[03/19/25 12:01:12] [INFO] received Windows console close event; shutting log-core down
[03/19/25 13:30:29] [INFO] received Windows console close event; shutting log-core down
[03/19/25 13:45:26] [INFO] received Windows console close event; shutting log-core down
[03/19/25 14:57:19] [INFO] received Windows console close event; shutting log-core down
[03/19/25 15:12:09] [INFO] received Windows console close event; shutting log-core down
[03/19/25 15:21:20] [INFO] received Windows console close event; shutting log-core down
[03/19/25 15:40:10] [INFO] received Windows console close event; shutting log-core down
[03/19/25 16:27:56] [INFO] received Windows console close event; shutting log-core down
